InitialTypeGroup,Latitude,Longitude,CountofInitialTypeGroup
SEX OFFENSE (NO RAPE),47.717175,-122.344894,1
SEX OFFENSE (NO RAPE),47.616055,-122.33617,1
SEX OFFENSE (NO RAPE),47.611904,-122.33593,2
SEX OFFENSE (NO RAPE),47.602413,-122.331085,3
SEX OFFENSE (NO RAPE),47.600464,-122.33081,1
ROBBERY,47.60046424,-122.3308075,10
ROBBERY,47.725037,-122.34499,30
ROBBERY,47.717175,-122.344894,4
ROBBERY,47.708603,-122.324615,82
ROBBERY,47.616055,-122.33617,7
ROBBERY,47.615837,-122.31817,10
ROBBERY,47.614685,-122.31685,2
ROBBERY,47.614655,-122.32079,17
ROBBERY,47.613518,-122.32077,24
ROBBERY,47.611904,-122.33593,23
ROBBERY,47.611206,-122.33759,9
ROBBERY,47.610973,-122.33815,21
ROBBERY,47.610744,-122.3387,24
ROBBERY,47.610245,-122.33825,21
ROBBERY,47.609814,-122.34288,8
ROBBERY,47.609516,-122.33835,21
ROBBERY,47.609253,-122.33734,31
ROBBERY,47.608788,-122.33845,25
ROBBERY,47.602413,-122.331085,28
ROBBERY,47.600464,-122.33081,13
ROBBERY,47.599194,-122.32767,13
ROBBERY,47.596657,-122.32768,22
ROBBERY,47.596653,-122.31344,23
ROBBERY,47.591312,-122.38238,2
ROBBERY,47.521027,-122.36731,27
ROBBERY,47.61237,-122.334816,10
ROBBERY,47.61132,-122.33732,26
ROBBERY,47.60975,-122.33779,29
GUN CALLS,47.60046424,-122.3308075,2
GUN CALLS,47.717175,-122.344894,8
GUN CALLS,47.708603,-122.324615,2
GUN CALLS,47.616055,-122.33617,1
GUN CALLS,47.615837,-122.31817,3
GUN CALLS,47.614685,-122.31685,1
GUN CALLS,47.614655,-122.32079,2
GUN CALLS,47.613518,-122.32077,3
GUN CALLS,47.611206,-122.33759,1
GUN CALLS,47.610973,-122.33815,1
GUN CALLS,47.610744,-122.3387,3
GUN CALLS,47.609814,-122.34288,2
GUN CALLS,47.609516,-122.33835,1
GUN CALLS,47.602413,-122.331085,11
GUN CALLS,47.600464,-122.33081,4
GUN CALLS,47.599194,-122.32767,3
GUN CALLS,47.596657,-122.32768,1
GUN CALLS,47.591312,-122.38238,2
GUN CALLS,47.521027,-122.36731,7
GUN CALLS,47.61132,-122.33732,1
GUN CALLS,47.60975,-122.33779,1
COMMERCIAL BURGLARIES,47.725037,-122.34499,18
COMMERCIAL BURGLARIES,47.717175,-122.344894,26
COMMERCIAL BURGLARIES,47.708603,-122.324615,17
COMMERCIAL BURGLARIES,47.615837,-122.31817,2
COMMERCIAL BURGLARIES,47.614655,-122.32079,4
COMMERCIAL BURGLARIES,47.613518,-122.32077,2
COMMERCIAL BURGLARIES,47.611904,-122.33593,9
COMMERCIAL BURGLARIES,47.611206,-122.33759,1
COMMERCIAL BURGLARIES,47.610973,-122.33815,14
COMMERCIAL BURGLARIES,47.610245,-122.33825,7
COMMERCIAL BURGLARIES,47.609516,-122.33835,5
COMMERCIAL BURGLARIES,47.609253,-122.33734,8
COMMERCIAL BURGLARIES,47.608788,-122.33845,2
COMMERCIAL BURGLARIES,47.602413,-122.331085,4
COMMERCIAL BURGLARIES,47.600464,-122.33081,1
COMMERCIAL BURGLARIES,47.596657,-122.32768,5
COMMERCIAL BURGLARIES,47.596653,-122.31344,27
COMMERCIAL BURGLARIES,47.521027,-122.36731,6
COMMERCIAL BURGLARIES,47.61237,-122.334816,13
COMMERCIAL BURGLARIES,47.61132,-122.33732,8
CASUALTIES,47.60046424,-122.3308075,4
CASUALTIES,47.725037,-122.34499,16
CASUALTIES,47.717175,-122.344894,13
CASUALTIES,47.708603,-122.324615,16
CASUALTIES,47.616055,-122.33617,8
CASUALTIES,47.615837,-122.31817,10
CASUALTIES,47.614685,-122.31685,4
CASUALTIES,47.614655,-122.32079,11
CASUALTIES,47.613518,-122.32077,16
CASUALTIES,47.611904,-122.33593,16
CASUALTIES,47.611206,-122.33759,40
CASUALTIES,47.610973,-122.33815,41
CASUALTIES,47.610744,-122.3387,32
CASUALTIES,47.610245,-122.33825,32
CASUALTIES,47.609814,-122.34288,12
CASUALTIES,47.609516,-122.33835,20
CASUALTIES,47.609253,-122.33734,33
CASUALTIES,47.608788,-122.33845,16
CASUALTIES,47.602413,-122.331085,27
CASUALTIES,47.600464,-122.33081,16
CASUALTIES,47.599194,-122.32767,13
CASUALTIES,47.596657,-122.32768,2
CASUALTIES,47.596653,-122.31344,2
CASUALTIES,47.591312,-122.38238,3
CASUALTIES,47.521027,-122.36731,13
CASUALTIES,47.61237,-122.334816,21
CASUALTIES,47.61132,-122.33732,38
CASUALTIES,47.60975,-122.33779,45
ASSAULTS,47.60046424,-122.3308075,60
ASSAULTS,47.725037,-122.34499,41
ASSAULTS,47.717175,-122.344894,54
ASSAULTS,47.708603,-122.324615,48
ASSAULTS,47.616055,-122.33617,23
ASSAULTS,47.615837,-122.31817,35
ASSAULTS,47.614685,-122.31685,27
ASSAULTS,47.614655,-122.32079,66
ASSAULTS,47.613518,-122.32077,81
ASSAULTS,47.611904,-122.33593,30
ASSAULTS,47.611206,-122.33759,40
ASSAULTS,47.610973,-122.33815,26
ASSAULTS,47.610744,-122.3387,92
ASSAULTS,47.610245,-122.33825,100
ASSAULTS,47.609814,-122.34288,44
ASSAULTS,47.609516,-122.33835,31
ASSAULTS,47.609253,-122.33734,31
ASSAULTS,47.608788,-122.33845,21
ASSAULTS,47.602413,-122.331085,451
ASSAULTS,47.600464,-122.33081,254
ASSAULTS,47.599194,-122.32767,52
ASSAULTS,47.596657,-122.32768,26
ASSAULTS,47.596653,-122.31344,13
ASSAULTS,47.521027,-122.36731,23
ASSAULTS,47.61237,-122.334816,38
ASSAULTS,47.61132,-122.33732,50
ASSAULTS,47.60975,-122.33779,100
